,popularity,artist_rank,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,streams
24,25,7,0.702,0.825,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,2290768
25,26,2500,0.849,0.424,-9.579,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,2151392
26,27,2500,0.579,0.596,-4.823,0.0561,0.436,0.0938,0.0549,0.443,119.9,188369,2137642
27,28,551,0.806,0.653,-6.283,0.0902,0.0282,0.000784,0.107,0.85,150.058,200690,2115426
28,29,2,0.903,0.817,-3.972,0.095,0.0272,0.000311,0.242,0.732,102.014,217360,2111337
29,30,4981,0.38,0.339,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,2104677
30,31,2500,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.464,90.03,198082,2068227
31,32,4963,0.747,0.739,-6.008,0.0487,0.0106,2.22e-05,0.101,0.523,120.996,220196,2024458
32,33,4963,0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,1964155
33,34,1,0.767,0.438,-8.726,0.29,0.181,0.0,0.142,0.381,86.975,221980,1932782
34,35,4992,0.587,0.561,-6.569,0.146,0.0466,0.0,0.109,0.351,80.009,243187,1899497
35,36,4983,0.759,0.459,-5.187,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442,1897269
36,37,5048,0.75,0.608,-4.008,0.0387,0.00165,0.0,0.178,0.958,132.507,173347,1887954
37,38,527,0.773,0.47,-7.93,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,1882180
38,39,2500,0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,1829481
39,40,83,0.77,0.787,-3.748,0.0583,0.198,0.0,0.262,0.513,119.986,140500,1795735
40,41,15,0.765,0.625,-3.599,0.0548,0.584,0.00111,0.112,0.262,102.101,164706,1781293
41,42,9,0.759,0.842,-3.758,0.096,0.101,0.0,0.134,0.584,105.059,263253,1780428
42,43,5479,0.829,0.512,-5.865,0.187,0.492,0.0,0.12,0.638,80.511,123987,1752425
43,44,551,0.831,0.554,-9.998,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,1724249
44,45,2,0.743,0.655,-5.015,0.159,0.114,0.0,0.0764,0.785,172.031,261335,1715118
45,46,4967,0.762,0.77,-2.758,0.223,0.138,0.0,0.15,0.631,177.998,201181,1666496
46,47,4986,0.912,0.655,-6.029,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293,1652713
47,48,4981,0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013,1644935
48,49,4982,0.583,0.67,-7.289,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433,1633260
49,50,251,0.659,0.688,-4.649,0.0673,0.207,0.0,0.113,0.632,153.979,273474,1627318
50,51,168,0.671,0.636,-8.117,0.103,0.515,0.000411,0.172,0.262,120.966,148197,1617288
51,52,2500,0.787,0.833,-4.403,0.0478,0.018,0.00747,0.0374,0.796,123.97,162604,1608217
52,53,4983,0.702,0.741,-5.33,0.0427,0.00544,0.0,0.337,0.646,124.925,187585,1584581
53,54,5713,0.57,0.455,-5.748,0.0996,0.441,0.000746,0.0654,0.399,167.933,151429,1572904
54,55,4981,0.442,0.612,-7.222,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,1474820
55,56,612,0.727,0.681,-7.114,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,1454663
56,57,4970,0.666,0.796,-6.967,0.103,0.0492,0.0,0.0442,0.61,110.108,164842,1448621
57,58,35,0.731,0.573,-10.059,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,1446537
58,59,4995,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,174000,1439859
59,60,2500,0.711,0.611,-5.453,0.33,0.00588,0.0,0.23,0.144,134.093,252262,1431752
60,61,2,0.662,0.788,-4.55,0.205,0.0191,0.0,0.0559,0.711,179.876,170760,1370438
61,62,306,0.729,0.513,-6.345,0.0455,0.494,1.1e-06,0.137,0.789,170.064,192353,1358129
62,63,81,0.701,0.716,-3.671,0.0361,0.174,0.0,0.324,0.732,91.007,140533,1338820
63,64,208,0.586,0.616,-7.964,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,1338227
64,65,2500,0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,1325318
65,66,66,0.486,0.871,-3.642,0.258,0.617,0.0,0.97,0.663,151.175,153410,1313212
66,67,4983,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,1301970
67,68,163,0.85,0.541,-4.522,0.0674,0.161,5.01e-06,0.286,0.916,92.003,165275,1298880
68,69,15,0.734,0.846,-3.425,0.0489,0.166,1.74e-06,0.235,0.604,98.026,209884,1292137
69,70,5104,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,1285244
70,71,4972,0.715,0.622,-5.102,0.046,0.163,0.0,0.0948,0.808,80.015,195053,1261414
71,72,7,0.793,0.793,-4.521,0.083,0.0123,0.0,0.0951,0.679,123.95,183290,1247578
72,73,4978,0.656,0.627,-6.627,0.0379,0.343,2.17e-05,0.124,0.481,99.933,167066,1241869
73,74,4981,0.395,0.443,-9.72,0.133,0.765,9.67e-06,0.0839,0.338,168.924,175933,1231690
74,75,83,0.798,0.62,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031,164000,1204343
75,76,15,0.75,0.522,-7.018,0.0293,0.282,0.0,0.0743,0.601,110.427,321556,1204275
76,77,77,0.721,0.738,-4.77,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,1199980
77,78,5141,0.778,0.695,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996,132780,1192364
78,79,5977,0.603,0.783,-4.023,0.062,0.449,7.96e-06,0.119,0.775,172.041,173104,1191419
79,80,5484,0.345,0.941,-9.918,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,1183088
80,81,35,0.816,0.71,-3.728,0.0398,0.165,0.0,0.292,0.784,93.02,208631,1177718
81,82,319,0.668,0.887,-4.404,0.0564,0.369,1.39e-06,0.257,0.907,151.92,157176,1165589
82,83,1764,0.628,0.318,-8.887,0.0507,0.807,0.101,0.19,0.492,86.453,221538,1155222
83,84,32,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,182161,1145498
84,85,5019,0.596,0.772,-4.721,0.0645,0.561,0.0,0.071,0.591,75.663,154662,1136486
85,86,601,0.815,0.848,-4.704,0.115,0.023,0.000162,0.0265,0.684,106.032,133707,1125253
86,87,2420,0.903,0.535,-6.434,0.0742,0.297,0.0,0.345,0.508,130.022,148779,1122339
87,88,5019,0.575,0.669,-4.75,0.0341,0.273,0.0,0.172,0.524,109.999,168645,1121705
88,89,7,0.659,0.667,-4.668,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,258004,1110819
89,90,41,0.771,0.885,-3.66,0.0508,0.222,0.0,0.0918,0.826,128.031,231604,1108405
90,91,4986,0.855,0.488,-4.601,0.208,0.506,0.0,0.347,0.619,124.097,174253,1104535
91,92,4975,0.822,0.736,-3.969,0.15,0.157,0.000781,0.0748,0.679,175.93,181107,1104059
92,93,992,0.422,0.34,-6.577,0.0351,0.877,1.77e-05,0.149,0.223,77.213,204094,1092291
93,94,4,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,263400,1078476
94,95,4963,0.68,0.826,-5.487,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,1067774
95,96,4981,0.695,0.575,-6.334,0.116,0.198,0.0,0.0614,0.699,163.929,173160,1065910
96,97,45,0.571,0.767,-5.16,0.287,0.336,0.0,0.0809,0.605,93.421,161684,1063937
97,98,6446,0.608,0.693,-4.057,0.0559,0.266,0.0,0.0829,0.308,129.882,153740,1062723
98,99,5424,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,1061014
100,101,5003,0.824,0.587,-6.401,0.0937,0.69,0.000105,0.149,0.514,98.029,209438,1056187
101,102,1,0.423,0.667,-7.012,0.326,0.758,0.0,0.246,0.496,86.743,336511,1053523
102,103,14,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949,204347,1050432
103,104,4973,0.776,0.808,-4.501,0.117,0.0297,0.000127,0.103,0.494,123.988,184104,1048917
104,105,33,0.841,0.527,-8.116,0.149,0.0427,1.54e-06,0.12,0.582,163.975,174164,1048761
105,106,4994,0.861,0.637,-7.701,0.133,0.392,0.0,0.0929,0.754,87.006,198621,1044965
106,107,73,0.811,0.807,-2.681,0.1,0.381,0.0,0.977,0.766,115.01,164949,1042308
107,108,2,0.813,0.81,-5.382,0.0809,0.112,1.59e-06,0.377,0.632,93.005,392867,1016963
108,109,6,0.614,0.318,-12.695,0.0478,0.896,0.00239,0.0795,0.112,119.959,180933,1013299
109,110,5020,0.789,0.536,-6.862,0.242,0.41,0.0,0.129,0.437,81.039,165926,1012502
110,111,4,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,1007512
111,112,344,0.651,0.726,-4.144,0.0539,0.382,0.0,0.0535,0.963,179.99,156267,1006841
112,113,6,0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,200186,1005080
113,114,4981,0.369,0.272,-10.497,0.0364,0.866,0.0,0.147,0.218,172.929,152667,1000010
114,115,1104,0.731,0.626,-6.919,0.0805,0.125,0.0,0.183,0.862,82.488,173640,997491
115,116,4992,0.319,0.236,-9.644,0.0318,0.898,1.62e-05,0.272,0.254,162.351,156091,994819
116,117,73,0.774,0.732,-4.227,0.0308,0.108,0.0,0.243,0.734,135.005,192725,989694
117,118,5,0.737,0.802,-4.771,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,985660
118,119,16,0.798,0.574,-6.548,0.157,0.024,0.0,0.122,0.309,155.964,138587,973625
119,120,48,0.414,0.404,-9.928,0.0499,0.271,0.0,0.3,0.224,71.105,354320,970597
120,121,6,0.334,0.599,-5.742,0.0365,0.0468,0.000392,0.205,0.127,161.74,151444,964599
121,122,3,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,963180
122,123,5119,0.526,0.731,-4.662,0.0887,0.18,0.0,0.0891,0.476,86.959,193221,959803
123,124,222,0.678,0.775,-4.152,0.043,0.302,0.0,0.0718,0.96,160.116,174938,957353
124,125,3,0.755,0.522,-4.368,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,954550
125,126,5162,0.806,0.595,-6.166,0.246,0.138,0.0,0.0882,0.677,82.492,187636,949836
126,127,395,0.727,0.546,-4.572,0.0437,0.656,0.0,0.122,0.69,106.891,197333,944848
127,128,32,0.459,0.575,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,942855
128,129,5451,0.759,0.886,-3.067,0.187,0.0103,2.04e-05,0.342,0.489,102.065,191462,940199
129,130,821,0.663,0.434,-11.177,0.0648,0.828,0.0,0.249,0.225,109.075,171743,931880
130,131,7,0.695,0.884,-2.278,0.0753,0.0561,0.0,0.213,0.914,103.014,203808,927350
131,132,5190,0.653,0.524,-9.016,0.0502,0.112,0.0,0.203,0.553,83.97,160191,926743
132,133,4992,0.546,0.64,-5.582,0.37,0.0438,0.0,0.137,0.63,137.728,339250,923643
133,134,88,0.449,0.465,-8.964,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,916097
134,135,205,0.748,0.761,-6.621,0.102,0.122,6.56e-06,0.0984,0.362,116.041,179940,914066
135,136,281,0.453,0.35,-11.639,0.0425,0.827,0.00122,0.144,0.279,72.017,185147,903899
136,137,4972,0.793,0.745,-4.579,0.0571,0.182,0.000189,0.293,0.716,94.979,235411,901502
137,138,114,0.734,0.874,-3.158,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,901098
138,139,4983,0.739,0.588,-4.971,0.136,0.00308,0.0,0.109,0.774,109.958,164457,892752
139,140,56,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,892480
140,141,750,0.65,0.792,-3.825,0.0393,0.607,2.36e-05,0.92,0.872,154.027,225672,881411
141,142,4970,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,190800,879798
142,143,2500,0.8,0.658,-6.142,0.079,0.25,0.0,0.111,0.462,140.042,195429,874810
143,144,5240,0.72,0.63,-5.549,0.0413,0.615,0.0,0.108,0.512,81.009,230292,872833
144,145,4963,0.828,0.621,-6.414,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,871814
145,146,350,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920,870294
146,147,493,0.758,0.913,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210,868936
147,148,6116,0.647,0.514,-10.05,0.0593,0.0655,0.0,0.398,0.387,79.974,240693,864685
148,149,2500,0.684,0.864,-4.819,0.0312,0.131,0.00526,0.344,0.978,125.395,221520,863601
149,150,34,0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983,176658,862513
150,151,5004,0.744,0.679,-3.51,0.0791,0.0654,0.00429,0.0966,0.866,176.024,199773,861779
151,152,5018,0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,161385,860012
152,153,239,0.836,0.846,-4.673,0.0392,0.0907,0.047,0.057,0.942,122.042,169945,858402
153,154,29,0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,856521
154,155,15,0.768,0.56,-3.497,0.0859,0.709,0.000791,0.115,0.372,112.084,205714,855410
155,156,1014,0.792,0.511,-6.876,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490,854788
156,157,200,0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973,853478
157,158,8,0.841,0.593,-7.846,0.0379,0.418,0.0,0.124,0.808,124.917,162803,850795
158,159,146,0.357,0.425,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078,198040,846724
159,160,75,0.664,0.705,-4.972,0.0382,0.0654,0.0,0.118,0.477,122.016,257267,844793
160,161,8,0.841,0.728,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,844597
161,162,75,0.682,0.72,-8.176,0.0382,0.321,0.0,0.205,0.649,116.988,168260,844587
162,163,837,0.39,0.499,-7.778,0.0381,0.632,0.000497,0.115,0.34,200.156,275194,838772
163,164,268,0.572,0.385,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,215733,838552
164,165,5144,0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,837240
165,166,1,0.84,0.744,-4.751,0.113,0.0181,0.0,0.629,0.171,83.737,204347,835445
166,167,4967,0.783,0.727,-3.454,0.389,0.185,2.46e-05,0.0626,0.558,180.067,199112,834921
167,168,2500,0.595,0.784,-4.878,0.102,0.216,0.0,0.0608,0.479,124.111,183726,834272
168,169,5051,0.769,0.719,-5.472,0.0474,0.0143,0.00777,0.359,0.863,121.955,176867,831848
169,170,4974,0.775,0.327,-7.241,0.0557,0.841,0.0,0.0821,0.595,91.05,189486,825272
170,171,5104,0.588,0.521,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,823382
171,172,4981,0.672,0.526,-6.446,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747,819940
172,173,161,0.667,0.373,-9.389,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,819644
173,174,34,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,818702
174,175,612,0.621,0.989,-4.225,0.0434,0.015,0.357,0.184,0.0348,126.002,158095,816253
175,176,167,0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,204280,812550
176,177,4974,0.713,0.676,-5.483,0.027,0.0377,0.0,0.154,0.721,99.048,227395,808580
177,178,33,0.923,0.533,-6.016,0.262,0.0504,0.0,0.102,0.587,133.991,145075,808055
178,179,5,0.778,0.317,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048,178627,805723
179,180,2500,0.635,0.706,-3.224,0.125,0.256,0.0,0.108,0.443,88.863,209160,803299
180,181,4989,0.523,0.606,-4.754,0.0301,0.512,0.0,0.106,0.065,145.837,217867,803037
181,182,66,0.292,0.626,-4.78,0.0533,0.571,0.0,0.87,0.305,162.824,190162,802947
182,183,9,0.839,0.711,-4.733,0.0473,0.398,2.02e-06,0.118,0.573,97.99,349547,802454
183,184,492,0.603,0.573,-5.843,0.0502,0.478,0.0,0.0971,0.236,82.941,228855,801660
184,185,15,0.704,0.739,-3.286,0.112,0.328,1.93e-05,0.0856,0.425,179.879,208292,799044
185,186,6,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,194088,796868
186,187,35,0.849,0.701,-4.407,0.06,0.407,0.0,0.112,0.505,98.005,261667,787499
187,188,2500,0.704,0.482,-5.352,0.0349,0.211,0.0,0.3,0.604,102.01,198529,786876
188,189,5092,0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945,241688,786623
189,190,117,0.669,0.784,-5.603,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053,784779
190,191,773,0.769,0.809,-4.529,0.0554,0.377,0.0,0.238,0.886,143.074,108651,783602
191,192,5454,0.609,0.692,-2.958,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,780824
192,193,5142,0.378,0.896,-4.066,0.0407,0.000452,0.0,0.194,0.469,174.302,258773,779570
193,194,5050,0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,211467,776900
194,195,523,0.442,0.538,-8.55,0.0451,0.717,2.95e-05,0.09,0.139,122.758,244360,775302
195,196,4994,0.692,0.521,-8.465,0.33,0.301,0.0,0.0565,0.463,100.45,292987,774699
196,197,1132,0.649,0.76,-6.487,0.0574,0.114,0.0,0.317,0.843,80.018,161853,773516
197,198,48,0.933,0.528,-6.472,0.161,0.112,0.312,0.163,0.754,109.967,214653,771841
198,199,1675,0.604,0.466,-10.093,0.0315,0.649,0.0334,0.093,0.499,120.045,224520,768397
199,200,68,0.585,0.839,-5.674,0.0758,0.182,0.0,0.2,0.568,123.793,163324,765597
204,5,4975,0.863,0.666,-4.158,0.152,0.212,0.000493,0.103,0.838,163.908,178947,3903196
205,6,5,0.83,0.585,-6.476,0.094,0.237,0.0,0.248,0.485,109.978,173711,3261914
210,11,52,0.856,0.618,-4.892,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,3057940
214,15,6,0.889,0.34,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009,174321,2723720
215,16,5222,0.719,0.648,-7.6,0.125,0.2,0.0,0.127,0.66,140.201,123263,2702390
216,17,10,0.935,0.454,-7.509,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,2677539
217,18,36,0.709,0.548,-8.493,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,2653569
220,21,33,0.81,0.511,-6.924,0.164,0.12,0.0,0.0832,0.837,151.947,154998,2424589
222,23,12,0.746,0.69,-7.956,0.164,0.247,0.0,0.101,0.497,89.977,181733,2398402
223,24,4973,0.64,0.392,-7.246,0.0574,0.0593,0.0,0.0839,0.502,145.838,178994,2387858
224,25,4,0.641,0.324,-5.851,0.0299,0.698,0.0,0.328,0.273,110.184,185487,2368447
226,27,28,0.767,0.481,-8.52,0.0803,0.234,0.0,0.269,0.761,150.076,171375,2261592
227,28,7,0.781,0.67,-3.912,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333,2211632
228,29,5219,0.725,0.756,-5.013,0.0572,0.362,0.000685,0.103,0.828,100.07,186133,2171409
229,30,26,0.716,0.512,-6.257,0.0331,0.483,0.0,0.0928,0.326,104.957,165907,2161806
230,31,4982,0.392,0.579,-9.195,0.164,0.835,0.00179,0.145,0.549,80.961,214707,2158627
232,33,9,0.823,0.537,-2.627,0.211,0.176,3.75e-06,0.124,0.608,175.965,231595,2076454
233,34,5167,0.767,0.659,-7.429,0.0444,0.325,0.0,0.13,0.439,124.946,163208,2073656
234,35,15,0.736,0.632,-4.939,0.0648,0.18,0.0,0.349,0.503,92.03,216107,2048342
235,36,4961,0.631,0.239,-7.071,0.0398,0.864,0.0,0.116,0.0927,79.859,149297,2013447
236,37,117,0.789,0.72,-5.652,0.218,0.223,0.0,0.129,0.664,122.031,166794,1940055
238,39,142,0.574,0.891,-3.665,0.157,0.0847,0.0,0.16,0.707,100.978,183240,1907168
239,40,2500,0.823,0.586,-6.606,0.2,0.114,0.0,0.193,0.347,125.971,190476,1905745
240,41,90,0.632,0.595,-7.644,0.0401,0.0689,0.0,0.209,0.435,124.114,167903,1846717
241,42,2,0.793,0.771,-3.417,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,247308,1829249
242,43,30,0.862,0.72,-4.048,0.0379,0.487,1.19e-06,0.0604,0.965,129.972,198707,1796933
243,44,30,0.824,0.457,-5.428,0.0543,0.167,0.0,0.041,0.95,87.977,187427,1785789
245,46,11,0.659,0.701,-4.107,0.164,0.0882,0.0,0.0866,0.623,91.97,180520,1764928
246,47,4961,0.673,0.704,-8.056,0.36,0.196,0.0,0.0898,0.372,86.919,212093,1735617
247,48,5,0.672,0.855,-3.764,0.0397,0.021,0.0,0.323,0.646,123.056,182200,1706869
248,49,28,0.789,0.711,-4.248,0.041,0.0332,0.0,0.0876,0.753,112.985,190306,1670599
249,50,218,0.798,0.828,-5.36,0.193,0.0247,2.55e-06,0.121,0.6,124.962,156960,1660605
250,51,4960,0.811,0.637,-4.835,0.0591,0.234,0.000572,0.118,0.471,92.025,130014,1657540
251,52,4972,0.713,0.617,-4.637,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,1635785
252,53,353,0.399,0.491,-10.778,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,1607449
254,55,1,0.761,0.518,-8.871,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,1587468
255,56,4986,0.787,0.673,-4.583,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893,1550511
257,58,2,0.714,0.761,-4.596,0.0427,0.139,0.00035,0.241,0.906,168.022,230693,1543498
259,60,4972,0.823,0.821,-3.402,0.166,0.31,4.28e-06,0.143,0.791,99.999,213314,1509040
260,61,2500,0.743,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,1501071
261,62,25,0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,196653,1497465
262,63,97,0.774,0.554,-7.909,0.0383,0.207,0.0,0.132,0.349,99.034,162547,1495270
264,65,2500,0.964,0.486,-8.891,0.188,0.0194,0.04,0.0694,0.318,124.058,220659,1481873
265,66,4971,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,1469326
266,67,142,0.905,0.686,-3.152,0.0664,0.0907,0.0,0.266,0.963,103.013,155825,1459607
267,68,185,0.845,0.677,-4.798,0.136,0.269,0.000917,0.108,0.68,90.013,219048,1454137
269,70,2,0.571,0.693,-8.234,0.0545,0.00536,0.0,0.173,0.393,168.169,232253,1433678
270,71,48,0.559,0.868,-5.276,0.17,0.0475,0.000176,0.776,0.609,156.295,209413,1413587
272,73,129,0.88,0.751,-4.258,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,1402220
273,74,4973,0.442,0.631,-5.096,0.05,0.136,2.29e-05,0.133,0.129,139.774,172693,1401789
274,75,128,0.726,0.431,-8.765,0.135,0.731,0.0,0.696,0.348,144.026,173333,1394918
275,76,4991,0.807,0.656,-4.395,0.105,0.0165,0.0,0.0693,0.89,83.943,185840,1365163
276,77,4975,0.718,0.712,-4.366,0.174,0.512,0.00121,0.104,0.531,180.034,189653,1360677
277,78,5031,0.699,0.805,-5.535,0.0345,0.00161,0.00177,0.249,0.232,109.976,223280,1356836
279,80,5133,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,1348365
280,81,5188,0.709,0.824,-8.824,0.0453,0.207,0.000307,0.0888,0.867,118.818,291293,1334571
281,82,5068,0.582,0.937,-2.118,0.0858,0.449,0.0,0.684,0.939,168.096,166838,1331297
282,83,54,0.637,0.69,-4.057,0.0405,0.00786,0.0,0.124,0.457,129.857,162399,1320928
283,84,5008,0.914,0.732,-6.1,0.241,0.0166,0.0,0.107,0.469,94.066,171067,1316011
284,85,4967,0.691,0.739,-3.09,0.229,0.422,3.95e-06,0.11,0.884,83.897,248345,1311651
285,86,5074,0.65,0.655,-3.71,0.405,0.25,0.0,0.0691,0.735,94.059,171215,1307672
288,89,4995,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,1285366
290,91,15,0.721,0.637,-5.134,0.286,0.0406,0.0,0.0525,0.691,193.922,222680,1272073
291,92,4995,0.448,0.838,-5.257,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,1266209
292,93,141,0.336,0.627,-7.463,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,1264249
293,94,7,0.73,0.729,-3.434,0.0884,0.167,1.39e-06,0.349,0.467,113.011,221820,1260329
294,95,5,0.487,0.534,-5.664,0.0555,0.36,0.0,0.1,0.173,131.798,201882,1257897
295,96,5018,0.719,0.598,-6.254,0.077,0.232,0.0,0.115,0.303,142.592,126521,1252620
296,97,40,0.436,0.655,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,1252284
298,99,4963,0.766,0.788,-3.128,0.312,0.105,5.81e-06,0.142,0.609,179.984,200482,1200735
299,100,4965,0.511,0.566,-7.23,0.2,0.349,0.0,0.34,0.218,83.903,239836,1188466
300,101,38,0.655,0.726,-7.628,0.0796,0.334,3.13e-06,0.232,0.766,160.064,150260,1183157
302,103,1,0.83,0.49,-8.82,0.209,0.289,3.04e-06,0.113,0.845,81.604,247059,1167425
303,104,30,0.734,0.775,-3.855,0.0614,0.186,0.000542,0.123,0.72,166.039,224187,1165302
304,105,4969,0.763,0.621,-6.169,0.066,0.0105,2.94e-06,0.106,0.582,82.042,211130,1163837
305,106,21,0.547,0.92,-3.939,0.259,0.00192,7.63e-06,0.257,0.372,129.994,210853,1163449
306,107,1,0.795,0.574,-6.903,0.487,0.067,0.0,0.15,0.537,142.053,237918,1160801
307,108,222,0.709,0.816,-4.787,0.0346,0.685,0.0,0.146,0.921,150.06,237900,1159170
309,110,4965,0.65,0.613,-6.13,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,1156438
310,111,28,0.738,0.85,-3.049,0.0642,0.105,0.0,0.23,0.865,98.013,192921,1155513
311,112,2321,0.504,0.76,-4.246,0.0426,0.286,0.0,0.151,0.64,183.933,190218,1146151
312,113,6257,0.51,0.375,-9.185,0.0288,0.813,0.0,0.145,0.25,132.552,263693,1142356
315,116,237,0.674,0.774,-7.567,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,1136777
316,117,4,0.798,0.676,-5.041,0.0442,0.0902,0.0,0.0894,0.843,101.956,219947,1121181
317,118,1336,0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,1115971
318,119,125,0.784,0.43,-8.756,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,1110596
320,121,43,0.755,0.578,-8.932,0.145,0.316,0.0,0.25,0.581,94.148,176960,1096319
321,122,31,0.806,0.546,-6.637,0.0575,0.3,0.0,0.102,0.874,147.986,212867,1085258
322,123,5,0.597,0.45,-6.658,0.0418,0.223,0.0,0.382,0.537,178.765,228482,1084889
323,124,4965,0.625,0.814,-5.181,0.0657,0.0172,0.0,0.158,0.535,144.991,205485,1083296
324,125,5181,0.878,0.525,-6.832,0.0578,0.183,0.0,0.0714,0.694,112.022,158571,1081265
325,126,5797,0.934,0.707,-4.214,0.0646,0.437,1.74e-05,0.0628,0.961,138.023,173913,1080968
